G1;G2;G3;G4;G5;G6;G7;G8;G9
АДЫГЕЯ РЕСП;;МАЙКОП Г;;ГАГАРИНА УЛ;7;;;17
АДЫГЕЯ РЕСП;;МАЙКОП Г;;ЖУКОВСКОГО УЛ;38;;;10
АДЫГЕЯ РЕСП;;МАЙКОП Г;;ЖУКОВСКОГО УЛ;31;;;11
АДЫГЕЯ РЕСП;;МАЙКОП Г;;КИРОВА УЛ;113;;;11
АДЫГЕЯ РЕСП;;МАЙКОП Г;;КРАСНООКТЯБРЬСКАЯ УЛ;21;;;16
АДЫГЕЯ РЕСП;;МАЙКОП Г;;КРЕСТЬЯНСКАЯ УЛ;236;;;15
АДЫГЕЯ РЕСП;;МАЙКОП Г;;ПРИВОКЗАЛЬНАЯ УЛ;106;;;11
АДЫГЕЯ РЕСП;;МАЙКОП Г;;ПРОЛЕТАРСКАЯ УЛ;269;;;10
АДЫГЕЯ РЕСП;;МАЙКОП Г;;ЮННАТОВ УЛ;9;;;16
АДЫГЕЯ РЕСП;КОШЕХАБЛЬСКИЙ Р-Н;;КОШЕХАБЛЬ АУЛ;ДРУЖБЫ НАРОДОВ УЛ;56;;;16
АДЫГЕЯ РЕСП;ТАХТАМУКАЙСКИЙ Р-Н;;ЯБЛОНОВСКИЙ ПГТ;ЛЕНИНА УЛ;39;А;;11
АДЫГЕЯ РЕСП;ШОВГЕНОВСКИЙ Р-Н;;ХАКУРИНОХАБЛЬ АУЛ;ШОВГЕНОВА УЛ;9;;;10
АДЫГЕЯ РЕСП;ГИАГИНСКИЙ Р-Н;;ГИАГИНСКАЯ СТ-ЦА;КООПЕРАТИВНАЯ УЛ;35;;;10
БАШКОРТОСТАН РЕСП;;УФА Г;;ЦВЕТОЧНАЯ УЛ;3/3;;;10
БАШКОРТОСТАН РЕСП;;УФА Г;;КРАЙНЯЯ УЛ;4;;;11
БАШКОРТОСТАН РЕСП;;УФА Г;;ПРИШКОЛЬНАЯ УЛ;23;;;11
БАШКОРТОСТАН РЕСП;;УФА Г;;ЛЕВЧЕНКО УЛ;2;;;10
БАШКОРТОСТАН РЕСП;;УФА Г;;КАНДРИНСКАЯ УЛ;2;;;10
БАШКОРТОСТАН РЕСП;;УФА Г;;ЛЕНИНА УЛ;26;;;10
БАШКОРТОСТАН РЕСП;;УФА Г;;ЛЕНИНА УЛ;28;;;10
БАШКОРТОСТАН РЕСП;;УФА Г;;ЛЕНИНА УЛ;70;-;-;10
БАШКОРТОСТАН РЕСП;;УФА Г;;ЛЕНИНА УЛ;162;;;10
БАШКОРТОСТАН РЕСП;;УФА Г;;ЛЕНИНА УЛ;13;;;11
БАШКОРТОСТАН РЕСП;;УФА Г;;ЛЕНИНА УЛ;97;;;14
БАШКОРТОСТАН РЕСП;;УФА Г;;ЛЕНИНА УЛ;56;;;17
БАШКОРТОСТАН РЕСП;;УФА Г;;СВОБОДЫ УЛ;86/1;;7;10
БАШКОРТОСТАН РЕСП;;УФА Г;;РИХАРДА ЗОРГЕ УЛ;9;1;;10
БАШКОРТОСТАН РЕСП;;УФА Г;;РИХАРДА ЗОРГЕ УЛ;35;3;;11
БАШКОРТОСТАН РЕСП;;УФА Г;;РИХАРДА ЗОРГЕ УЛ;9;;;12
БАШКОРТОСТАН РЕСП;;УФА Г;;СИЛИКАТНАЯ УЛ;28 Б;;31;10
БАШКОРТОСТАН РЕСП;;УФА Г;;ШОТА РУСТАВЕЛИ УЛ;49;;;11
БАШКОРТОСТАН РЕСП;;УФА Г;;ГАФУРИ УЛ;105;;;10
БАШКОРТОСТАН РЕСП;;УФА Г;;ФЕРИНА УЛ;2;;;13
БАШКОРТОСТАН РЕСП;;УФА Г;;ОКТЯБРЬСКОЙ РЕВОЛЮЦИИ УЛ;34;;1;11
БАШКОРТОСТАН РЕСП;;УФА Г;;50-ЛЕТИЯ ОКТЯБРЯ УЛ;11;2;;10
БАШКОРТОСТАН РЕСП;;УФА Г;;50-ЛЕТИЯ ОКТЯБРЯ УЛ;15;;;12
БАШКОРТОСТАН РЕСП;;УФА Г;;МЕНДЕЛЕЕВА УЛ;229;;;10
БАШКОРТОСТАН РЕСП;;УФА Г;;МЕНДЕЛЕЕВА УЛ;140;1;;11
БАШКОРТОСТАН РЕСП;;УФА Г;;МЕНДЕЛЕЕВА УЛ;149;;;12
БАШКОРТОСТАН РЕСП;;УФА Г;;МЕНДЕЛЕЕВА УЛ;134;-;-;13
БАШКОРТОСТАН РЕСП;;УФА Г;;МЕНДЕЛЕЕВА УЛ;217;А;;13
БАШКОРТОСТАН РЕСП;;УФА Г;;МЕНДЕЛЕЕВА УЛ;137;;;14
БАШКОРТОСТАН РЕСП;;УФА Г;;ВОЙКОВА УЛ;1;;;11
БАШКОРТОСТАН РЕСП;;УФА Г;;УЛЬЯНОВЫХ УЛ;60;-;-;12
БАШКОРТОСТАН РЕСП;;УФА Г;;УЛЬЯНОВЫХ УЛ;65;;;13
БАШКОРТОСТАН РЕСП;;УФА Г;;САЛАВАТА ЮЛАЕВА ПР-КТ;59;;;13
БАШКОРТОСТАН РЕСП;;УФА Г;;РИЖСКАЯ УЛ;1;;;10
БАШКОРТОСТАН РЕСП;;УФА Г;;ВОЛОГОДСКАЯ УЛ;19;;13А;10
БАШКОРТОСТАН РЕСП;;УФА Г;;НОВОЧЕРКАССКАЯ УЛ;4;;;10
БАШКОРТОСТАН РЕСП;;УФА Г;;НОВОЧЕРКАССКАЯ УЛ;16;;;11
БАШКОРТОСТАН РЕСП;;УФА Г;;БРАТЬЕВ КАДОМЦЕВЫХ УЛ;12;2;;10
БАШКОРТОСТАН РЕСП;;УФА Г;;ФУРМАНОВА УЛ;85;;;11
БАШКОРТОСТАН РЕСП;;УФА Г;;КАВКАЗСКАЯ УЛ;8;;;10
БАШКОРТОСТАН РЕСП;;УФА Г;;ХАДИИ ДАВЛЕТШИНОЙ Б-Р;18;;;10
БАШКОРТОСТАН РЕСП;;УФА Г;;ХАДИИ ДАВЛЕТШИНОЙ Б-Р;11 - А; -; -;10
БАШКОРТОСТАН РЕСП;;УФА Г;;ТУКАЕВА УЛ;46;;;11
БАШКОРТОСТАН РЕСП;;УФА Г;;МУСТАЯ КАРИМА УЛ;41;;;10
БАШКОРТОСТАН РЕСП;;УФА Г;;ПАРХОМЕНКО УЛ;133;1;;10
БАШКОРТОСТАН РЕСП;;УФА Г;;ПАРХОМЕНКО УЛ;155;2;;11
БАШКОРТОСТАН РЕСП;;УФА Г;;ПАРХОМЕНКО УЛ;156;3;;15
БАШКОРТОСТАН РЕСП;;УФА Г;;РАДИЩЕВА УЛ;117;-;-;11
БАШКОРТОСТАН РЕСП;;УФА Г;;ЦЮРУПЫ УЛ;17;-;-;11
БАШКОРТОСТАН РЕСП;;УФА Г;;ЦЮРУПЫ УЛ;151;1;;12
БАШКОРТОСТАН РЕСП;;УФА Г;;ЗАВОДСКАЯ УЛ;11;1;;10
БАШКОРТОСТАН РЕСП;;УФА Г;;ОКТЯБРЯ ПР-КТ;158;;;10
БАШКОРТОСТАН РЕСП;;УФА Г;;МИНГАЖЕВА УЛ;129;;4;10
БАШКОРТОСТАН РЕСП;;УФА Г;;САГИТА АГИША УЛ;16;1;;10
БАШКОРТОСТАН РЕСП;;УФА Г;;САГИТА АГИША УЛ;16;1;24;10
БАШКОРТОСТАН РЕСП;;УФА Г;;МАЙКОПСКАЯ УЛ;58;1;;13
БАШКОРТОСТАН РЕСП;;УФА Г;;СТЕПАНА КУВЫКИНА УЛ;25;1;;15
БАШКОРТОСТАН РЕСП;;УФА Г;;КИРОВА УЛ;107;-;-;11
БАШКОРТОСТАН РЕСП;;УФА Г;;КИРОВА УЛ;128;1;;11
БАШКОРТОСТАН РЕСП;;УФА Г;;КИРОВА УЛ;1;;;12
БАШКОРТОСТАН РЕСП;;УФА Г;;КИРОВА УЛ;52;;;12
БАШКОРТОСТАН РЕСП;;УФА Г;;ТРАМВАЙНАЯ УЛ;14;;;10
БАШКОРТОСТАН РЕСП;;УФА Г;;ТРАМВАЙНАЯ УЛ;15;;;11
БАШКОРТОСТАН РЕСП;;УФА Г;;ТРАМВАЙНАЯ УЛ;4;А;;24
БАШКОРТОСТАН РЕСП;;УФА Г;;МАКСИМА ГОРЬКОГО УЛ;36;;;10
БАШКОРТОСТАН РЕСП;;УФА Г;;АЙСКАЯ УЛ;58;1;---;12
БАШКОРТОСТАН РЕСП;;УФА Г;;АЙСКАЯ УЛ;46;;;12
БАШКОРТОСТАН РЕСП;;УФА Г;;МАЛАЯ ГРАЖДАНСКАЯ УЛ;35А;;;10
БАШКОРТОСТАН РЕСП;;УФА Г;;СОФЬИ ПЕРОВСКОЙ УЛ;52;2;;13
БАШКОРТОСТАН РЕСП;;УФА Г;;ТИХОРЕЦКАЯ УЛ;36;;;10
БАШКОРТОСТАН РЕСП;;УФА Г;;НОВОМОСТОВАЯ УЛ;8;;;10
БАШКОРТОСТАН РЕСП;;УФА Г;;БЛАГОВАРСКАЯ УЛ;4;;;13
БАШКОРТОСТАН РЕСП;;УФА Г;;ЭНЕРГЕТИКОВ УЛ;1;;;14
БАШКОРТОСТАН РЕСП;;УФА Г;;ИМ. ФРОНТОВЫХ БРИГАД УЛ;48;5;;11
БАШКОРТОСТАН РЕСП;;УФА Г;;НАБЕРЕЖНАЯ Р. УФЫ УЛ;61;;9;12
БАШКОРТОСТАН РЕСП;;УФА Г;;ПУШКИНА УЛ;95;;;10
БАШКОРТОСТАН РЕСП;;УФА Г;;ПУШКИНА УЛ;109;;;13
БАШКОРТОСТАН РЕСП;;УФА Г;;ПУШКИНА УЛ;106;;;17
БАШКОРТОСТАН РЕСП;;УФА Г;;ИНДУСТРИАЛЬНОЕ ШОССЕ УЛ;47;;;10
БАШКОРТОСТАН РЕСП;;УФА Г;;ИНДУСТРИАЛЬНОЕ ШОССЕ УЛ;26;-;-;15
БАШКОРТОСТАН РЕСП;;УФА Г;;ИНДУСТРИАЛЬНОЕ ШОССЕ УЛ;112;1;-;17
БАШКОРТОСТАН РЕСП;;УФА Г;;ЯКУБА КОЛАСА УЛ;127;;;10
БАШКОРТОСТАН РЕСП;;УФА Г;;КОММУНИСТИЧЕСКАЯ УЛ;80;;;14
